lat,lon,hae,droneLatitude,droneLongitude,droneElevationHAE,cameraRollAngleDeg,cameraSlantAngleDeg,raySlantAngleDeg,make,model,isCameraModelRecognized,lensType,k1,k2,k3,p1,p2,focalLength,digitalZoomRatio,imageWidth,imageLength,f_x,f_y,azimuthOffsetUserCorrection,imageSelectedProportionX,imageSelectedProportionY,yawOffsetDegSelectedPoint,pitchOffsetDegSelectedPoint,slantRange
31.603888462383264,-110.43321457450378,1463.7474104124099,31.603951,-110.433089,1523.170039,-0.014883,66.501998,76.94189748451339,skydio,X2 NARROW,true,perspective,-0.077582,0.197062,-0.06815,0.001172,0.000239,7.47,1.0,4056,3040,4826.146998,4566.95203,0,0.086616,0.778683,-19.037244,-10.439899,61.002867
31.60382951676909,-110.43351900734234,1463.2844393613068,31.603941,-110.432978,1523.441097,-0.006192,66.496231,48.76029060944909,skydio,X2 NARROW,true,perspective,-0.077582,0.197062,-0.06815,0.001172,0.000239,7.47,1.0,4056,3040,4826.146998,4566.95203,0,0.015533,0.015583,-21.998044,17.73594,80.031999
31.603667281090722,-110.43297509460025,1467.6133964033918,31.603534,-110.433107,1523.335771,-0.121912,66.482354,70.81231294251593,skydio,X2 NARROW,true,perspective,-0.077582,0.197062,-0.06815,0.001172,0.000239,7.47,1.0,4056,3040,4826.146998,4566.95203,0,0.225614,0.614684,-12.946705,-4.329959,59.005865
31.603607970447428,-110.43305061885025,1467.1863970419654,31.603534,-110.433107,1523.335771,-0.121912,66.482354,80.08914354990802,skydio,X2 NARROW,true,perspective,-0.077582,0.197062,-0.06815,0.001172,0.000239,7.47,1.0,4056,3040,4826.146998,4566.95203,0,0.062357,0.867053,-20.083864,-13.60679,57.001554
31.60358616923054,-110.43306956940224,1467.7503181261184,31.603534,-110.433107,1523.335771,-0.121912,66.482354,83.02412014966815,skydio,X2 NARROW,true,perspective,-0.077582,0.197062,-0.06815,0.001172,0.000239,7.47,1.0,4056,3040,4826.146998,4566.95203,0,0.025299,0.95013,-21.646193,-16.541766,56.00076
31.60363220212601,-110.43311467290094,1466.689703489924,31.603411,-110.433301,1523.070781,-0.489157,44.372236,61.75769938929906,skydio,X2 NARROW,true,perspective,-0.077582,0.197062,-0.06815,0.001172,0.000239,7.47,1.0,4056,3040,4826.146998,4566.95203,0,0.122101,0.977474,-17.649914,-17.385463,64.013187
31.60367094189047,-110.43301915991448,1467.6203003484873,31.603411,-110.433301,1523.070781,-0.489157,44.372236,54.63170734223839,skydio,X2 NARROW,true,perspective,-0.077582,0.197062,-0.06815,0.001172,0.000239,7.47,1.0,4056,3040,4826.146998,4566.95203,0,0.278484,0.775478,-10.585423,-10.259471,68.020962
31.603932463871637,-110.43249933149204,1470.6608889698207,31.603411,-110.433301,1523.070781,-0.489157,44.372236,28.739278119594346,skydio,X2 NARROW,true,perspective,-0.077582,0.197062,-0.06815,0.001172,0.000239,7.47,1.0,4056,3040,4826.146998,4566.95203,0,0.482878,0.077176,-0.676612,15.632958,109.077068
31.603932596926796,-110.4325019259711,1470.7579642921648,31.603435,-110.433264,1523.175365,-0.435301,44.403634,29.94796869510173,skydio,X2 NARROW,true,perspective,-0.077582,0.197062,-0.06815,0.001172,0.000239,7.47,1.0,4056,3040,4826.146998,4566.95203,0,0.481495,0.110817,-0.772821,14.455665,105.072501
31.603671145804277,-110.43301321325997,1467.4858867398048,31.603435,-110.433264,1523.175365,-0.435301,44.403634,57.5414549770275,skydio,X2 NARROW,true,perspective,-0.077582,0.197062,-0.06815,0.001172,0.000239,7.47,1.0,4056,3040,4826.146998,4566.95203,0,0.26591,0.854723,-11.167916,-13.137821,66.017492
31.603924750748103,-110.43249824195365,1471.1862129446174,31.603372,-110.433364,1523.297475,-0.581632,44.432184,26.94541297117631,skydio,X2 NARROW,true,perspective,-0.077582,0.197062,-0.06815,0.001172,0.000239,7.47,1.0,4056,3040,4826.146998,4566.95203,0,0.502077,0.023325,0.278982,17.486771,115.084042
31.603677766950792,-110.43302235104228,1467.4029153509189,31.603372,-110.433364,1523.297475,-0.581632,44.432184,49.96742803581068,skydio,X2 NARROW,true,perspective,-0.077582,0.197062,-0.06815,0.001172,0.000239,7.47,1.0,4056,3040,4826.146998,4566.95203,0,0.306114,0.648252,-9.283931,-5.535244,73.027789
31.603643165467055,-110.43312431342672,1466.7436561545333,31.603372,-110.433364,1523.297475,-0.581632,44.432184,56.27106461455388,skydio,X2 NARROW,true,perspective,-0.077582,0.197062,-0.06815,0.001172,0.000239,7.47,1.0,4056,3040,4826.146998,4566.95203,0,0.161629,0.821194,-15.891228,-11.838881,68.019292
31.60362543697651,-110.43315284050406,1467.075760390177,31.603372,-110.433364,1523.297475,-0.581632,44.432184,58.41282095904919,skydio,X2 NARROW,true,perspective,-0.077582,0.197062,-0.06815,0.001172,0.000239,7.47,1.0,4056,3040,4826.146998,4566.95203,0,0.125256,0.881346,-17.50433,-13.980637,66.016662
31.603933689624885,-110.43249589524395,1470.7577954369071,31.603388,-110.433337,1523.03886,-0.473694,44.399685,27.55916329306754,skydio,X2 NARROW,true,perspective,-0.077582,0.197062,-0.06815,0.001172,0.000239,7.47,1.0,4056,3040,4826.146998,4566.95203,0,0.483056,0.042402,-0.669391,16.840522,113.081676
31.603675798602957,-110.43301976629473,1467.2482243065779,31.603388,-110.433337,1523.03886,-0.473694,44.399685,51.79321014347739,skydio,X2 NARROW,true,perspective,-0.077582,0.197062,-0.06815,0.001172,0.000239,7.47,1.0,4056,3040,4826.146998,4566.95203,0,0.2871,0.697603,-10.17896,-7.393525,71.02499
31.603637055861174,-110.43312110054762,1466.736515428267,31.603388,-110.433337,1523.03886,-0.473694,44.399685,58.54670826394258,skydio,X2 NARROW,true,perspective,-0.077582,0.197062,-0.06815,0.001172,0.000239,7.47,1.0,4056,3040,4826.146998,4566.95203,0,0.137749,0.884882,-16.932239,-14.147023,66.016536
31.603618568030004,-110.433148715962,1467.1829500481076,31.603388,-110.433337,1523.03886,-0.473694,44.399685,60.77963214966979,skydio,X2 NARROW,true,perspective,-0.077582,0.197062,-0.06815,0.001172,0.000239,7.47,1.0,4056,3040,4826.146998,4566.95203,0,0.10093,0.948696,-18.552368,-16.379947,64.014034
31.603856549005783,-110.43251953850229,1470.402167905225,31.603366,-110.433387,1523.422573,-0.487554,44.43861,28.254996106866187,skydio,X2 NARROW,true,perspective,-0.077582,0.197062,-0.06815,0.001172,0.000239,7.47,1.0,4056,3040,4826.146998,4566.95203,0,0.053168,0.064838,-20.286863,16.183614,112.079923
31.60395235797969,-110.43259523997808,1470.6970289175165,31.603347,-110.43345,1523.899359,-0.355798,44.59278,26.799336461262083,skydio,X2 NARROW,true,perspective,-0.077582,0.197062,-0.06815,0.001172,0.000239,7.47,1.0,4056,3040,4826.146998,4566.95203,0,0.122848,0.01648,-17.337733,17.793444,118.086466
31.603638685664528,-110.4330817320018,1467.2806735548484,31.603347,-110.43345,1523.899359,-0.355798,44.59278,49.917434919574056,skydio,X2 NARROW,true,perspective,-0.077582,0.197062,-0.06815,0.001172,0.000239,7.47,1.0,4056,3040,4826.146998,4566.95203,0,0.052278,0.644208,-20.51453,-5.324655,74.02823
31.603356975726474,-110.43314750716799,1468.9323157222375,31.603347,-110.43345,1523.899359,-0.355798,44.59278,62.44475670545372,skydio,X2 NARROW,true,perspective,-0.077582,0.197062,-0.06815,0.001172,0.000239,7.47,1.0,4056,3040,4826.146998,4566.95203,0,0.942841,0.983021,20.189814,-17.851977,62.012208
31.603122022995823,-110.43389342204507,1466.3366231002017,31.603296,-110.433277,1523.524533,-0.164689,44.472631,42.90685080180195,skydio,X2 NARROW,true,perspective,-0.077582,0.197062,-0.06815,0.001172,0.000239,7.47,1.0,4056,3040,4826.146998,4566.95203,0,0.415061,0.45931,-4.082095,1.56578,84.041466
31.603150350544713,-110.43365175434879,1465.4145770303373,31.603296,-110.433277,1523.524533,-0.164689,44.472631,56.113351334502134,skydio,X2 NARROW,true,perspective,-0.077582,0.197062,-0.06815,0.001172,0.000239,7.47,1.0,4056,3040,4826.146998,4566.95203,0,0.284076,0.811557,-10.276381,-11.64072,70.020026
31.60312071483349,-110.433896420009,1466.70636282165,31.603316,-110.433181,1523.402904,-0.347444,44.450347,38.538393164405406,skydio,X2 NARROW,true,perspective,-0.077582,0.197062,-0.06815,0.001172,0.000239,7.47,1.0,4056,3040,4826.146998,4566.95203,0,0.430887,0.34458,-3.279999,5.911954,91.051225
31.603153232531344,-110.43348261791375,1466.732876529022,31.603316,-110.433181,1523.402904,-0.347444,44.450347,59.16386322101601,skydio,X2 NARROW,true,perspective,-0.077582,0.197062,-0.06815,0.001172,0.000239,7.47,1.0,4056,3040,4826.146998,4566.95203,0,0.11555,0.899932,-17.86849,-14.713516,66.015957
31.602815774542886,-110.4340514623539,1469.029514427631,31.603337,-110.433088,1523.307788,-0.36794,44.476368,26.652664470013736,skydio,X2 NARROW,true,perspective,-0.077582,0.197062,-0.06815,0.001172,0.000239,7.47,1.0,4056,3040,4826.146998,4566.95203,0,0.107599,0.015695,-17.996444,17.823704,121.088898
